order_id,client_id,service_id,gift_id,gift_cost,total_gifts,total_amount,fee,variable_cost,total_revenue,month,year,date
11187,397,2,13,228.17,76,17341,3468.2,6340,20809.2,5,2019,5-2019
11188,393,1,21,176.75,75,13256,2651.2,4894,15907.2,12,2018,12-2018
11189,387,1,17,308.56,61,18822,3764.4,6118,22586.4,1,2018,1-2018
11190,307,2,17,344.35,54,18595,3719,5828,22314,1,2018,1-2018
11191,156,1,23,478.62,21,10051,2010.2,4827,12061.2,7,2018,7-2018
11192,258,2,20,747.11,18,13448,2689.6,6635,16137.6,8,2019,8-2019
11193,211,2,20,675.27,26,17557,3511.4,5231,21068.4,5,2018,5-2018
11194,335,1,12,251.43,70,17600,3520,5373,21120,1,2018,1-2018
11195,123,1,17,305.66,64,19562,3912.4,5392,23474.4,10,2019,10-2019
11196,416,2,27,294,57,16758,3351.6,5500,20109.6,6,2019,6-2019
11197,421,2,19,347.44,50,17372,3474.4,4052,20846.4,8,2018,8-2018
11198,520,1,25,488.36,22,10744,2148.8,5773,12892.8,12,2019,12-2019
11199,365,2,19,195.04,68,13263,2652.6,6319,15915.6,4,2018,4-2018
11200,325,2,13,366.33,40,14653,2930.6,6174,17583.6,6,2018,6-2018
11201,512,2,11,257.45,44,11328,2265.6,6470,13593.6,3,2018,3-2018
11202,528,1,25,520.64,36,18743,3748.6,4433,22491.6,6,2018,6-2018
11203,201,2,11,347.15,52,18052,3610.4,6528,21662.4,3,2019,3-2019
11204,426,2,26,314.45,53,16666,3333.2,4786,19999.2,8,2019,8-2019
11205,374,2,22,1153.08,13,14990,2998,6829,17988,5,2019,5-2019
11206,509,2,27,339.71,49,16646,3329.2,6397,19975.2,11,2019,11-2019
11207,372,3,16,560.64,22,12334,2466.8,6696,14800.8,5,2019,5-2019
11208,425,1,16,1081.71,17,18389,3677.8,6042,22066.8,12,2019,12-2019
11209,170,2,13,854.06,16,13665,2733,4553,16398,11,2019,11-2019
11210,491,2,24,428.73,30,12862,2572.4,6692,15434.4,9,2019,9-2019
11211,272,2,26,194.86,71,13835,2767,5331,16602,12,2018,12-2018
11212,260,1,17,268.38,52,13956,2791.2,6785,16747.2,1,2018,1-2018
11213,424,2,20,328.22,60,19693,3938.6,6315,23631.6,6,2018,6-2018
11214,435,1,23,154.79,75,11609,2321.8,5080,13930.8,3,2018,3-2018
11215,517,1,22,257.38,77,19818,3963.6,5021,23781.6,3,2018,3-2018
11216,152,3,26,643.3,27,17369,3473.8,6149,20842.8,9,2018,9-2018
11217,408,3,23,525.32,34,17861,3572.2,4964,21433.2,11,2018,11-2018
11218,344,3,16,343.44,52,17859,3571.8,4885,21430.8,1,2018,1-2018
11219,149,1,11,956.65,17,16263,3252.6,5986,19515.6,1,2019,1-2019
11220,386,3,16,1230.62,13,15998,3199.6,6500,19197.6,4,2018,4-2018
11221,514,1,16,279.05,56,15627,3125.4,4944,18752.4,5,2018,5-2018
11222,187,2,13,576.65,34,19606,3921.2,4127,23527.2,6,2019,6-2019
11223,450,3,25,1084.13,15,16262,3252.4,5180,19514.4,7,2019,7-2019
11224,189,1,24,248.87,70,17421,3484.2,6956,20905.2,4,2018,4-2018
11225,414,1,13,507.97,32,16255,3251,6982,19506,3,2018,3-2018
11226,300,3,19,255.88,72,18423,3684.6,5273,22107.6,6,2019,6-2019
11227,433,2,21,294.37,35,10303,2060.6,6575,12363.6,6,2018,6-2018
11228,111,2,20,521.64,22,11476,2295.2,6484,13771.2,3,2018,3-2018
11229,357,1,25,324.46,41,13303,2660.6,5335,15963.6,12,2019,12-2019
11230,346,2,27,348.13,53,18451,3690.2,6839,22141.2,3,2019,3-2019
11231,217,1,14,249.46,76,18959,3791.8,5276,22750.8,7,2018,7-2018
11232,146,3,27,491.35,31,15232,3046.4,4404,18278.4,12,2018,12-2018
11233,352,1,11,147.47,74,10913,2182.6,6973,13095.6,3,2019,3-2019
11234,423,2,16,630,25,15750,3150,6794,18900,9,2019,9-2019
11235,280,2,18,239.67,78,18694,3738.8,5452,22432.8,10,2018,10-2018
11236,518,1,16,327.37,49,16041,3208.2,4937,19249.2,6,2019,6-2019
11237,394,2,23,371.18,40,14847,2969.4,4898,17816.4,10,2018,10-2018
11238,317,1,12,459.89,37,17016,3403.2,6297,20419.2,2,2018,2-2018
11239,185,2,21,260.94,49,12786,2557.2,4570,15343.2,9,2018,9-2018
11240,292,3,22,286.53,66,18911,3782.2,4302,22693.2,10,2019,10-2019
11241,256,3,23,401.53,34,13652,2730.4,5804,16382.4,5,2018,5-2018
11242,485,2,19,314.73,33,10386,2077.2,4106,12463.2,4,2018,4-2018
11243,332,3,27,309.43,47,14543,2908.6,6456,17451.6,2,2018,2-2018
11244,359,3,15,228.27,71,16207,3241.4,4821,19448.4,6,2018,6-2018
11245,323,2,23,572.59,34,19468,3893.6,5414,23361.6,6,2019,6-2019
11246,339,2,13,335.14,36,12065,2413,5788,14478,3,2018,3-2018
11247,238,2,22,386.95,37,14317,2863.4,6864,17180.4,11,2019,11-2019
11248,440,1,17,430.93,40,17237,3447.4,4323,20684.4,6,2019,6-2019
11249,307,3,21,200.86,64,12855,2571,5740,15426,7,2019,7-2019
11250,360,2,24,905.83,18,16305,3261,5931,19566,7,2019,7-2019
11251,273,3,20,1406.69,13,18287,3657.4,5659,21944.4,5,2019,5-2019
11252,467,2,21,154.11,66,10171,2034.2,4926,12205.2,1,2018,1-2018
11253,268,2,21,136.58,78,10653,2130.6,6936,12783.6,10,2019,10-2019
11254,253,1,25,219.72,79,17358,3471.6,4356,20829.6,6,2019,6-2019
11255,332,3,16,258.46,71,18351,3670.2,5688,22021.2,11,2018,11-2018
11256,204,1,16,989,19,18791,3758.2,4213,22549.2,6,2018,6-2018
11257,362,1,23,524.41,22,11537,2307.4,4162,13844.4,7,2018,7-2018
11258,515,2,14,489.35,26,12723,2544.6,6341,15267.6,7,2018,7-2018
11259,287,2,23,366.69,45,16501,3300.2,4772,19801.2,3,2018,3-2018
11260,279,2,13,440.67,42,18508,3701.6,4683,22209.6,10,2019,10-2019
11261,362,1,14,460.38,32,14732,2946.4,6754,17678.4,5,2018,5-2018
11262,462,3,17,678.52,21,14249,2849.8,4344,17098.8,12,2019,12-2019
11263,320,2,17,216.46,76,16451,3290.2,5350,19741.2,10,2018,10-2018
11264,208,2,16,455.48,25,11387,2277.4,4314,13664.4,2,2019,2-2019
11265,437,2,25,404.39,49,19815,3963,6831,23778,7,2018,7-2018
11266,506,2,16,652.88,17,11099,2219.8,6552,13318.8,1,2018,1-2018
11267,510,3,27,365.86,44,16098,3219.6,5957,19317.6,11,2018,11-2018
11268,351,3,17,228.6,58,13259,2651.8,5825,15910.8,7,2018,7-2018
11269,439,2,22,295.97,62,18350,3670,4771,22020,4,2019,4-2019
11270,480,2,16,281.22,36,10124,2024.8,5859,12148.8,7,2019,7-2019
11271,301,1,12,157.14,71,11157,2231.4,4922,13388.4,8,2019,8-2019
11272,442,1,26,286.78,69,19788,3957.6,4273,23745.6,11,2018,11-2018
11273,449,3,13,452.14,35,15825,3165,5420,18990,4,2019,4-2019
11274,521,3,19,650.44,16,10407,2081.4,6940,12488.4,11,2018,11-2018
11275,169,1,12,430.54,26,11194,2238.8,6224,13432.8,5,2018,5-2018
11276,358,2,14,1709.64,11,18806,3761.2,6714,22567.2,12,2019,12-2019
11277,252,2,20,363.49,53,19265,3853,6200,23118,7,2018,7-2018
11278,531,1,14,134.58,77,10363,2072.6,6049,12435.6,5,2018,5-2018
11279,231,3,26,454.47,36,16361,3272.2,5680,19633.2,10,2018,10-2018
11280,419,1,17,1381.79,14,19345,3869,4721,23214,6,2019,6-2019
11281,490,2,23,1361.08,13,17694,3538.8,6049,21232.8,2,2019,2-2019
11282,509,2,18,267,74,19758,3951.6,4347,23709.6,4,2019,4-2019
11283,197,2,13,252.74,65,16428,3285.6,5689,19713.6,8,2018,8-2018
11284,137,3,19,451.19,42,18950,3790,5775,22740,12,2018,12-2018
11285,218,3,24,1261.67,12,15140,3028,6141,18168,4,2018,4-2018
11286,306,1,25,285.65,60,17139,3427.8,4248,20566.8,3,2018,3-2018
11287,485,2,21,246.45,77,18977,3795.4,5133,22772.4,12,2019,12-2019
11288,273,3,16,186.23,64,11919,2383.8,5033,14302.8,7,2018,7-2018
11289,354,1,26,1027.47,15,15412,3082.4,4526,18494.4,11,2019,11-2019
11290,251,2,12,431.73,37,15974,3194.8,5906,19168.8,10,2018,10-2018
11291,471,1,15,288.61,46,13276,2655.2,4331,15931.2,9,2019,9-2019
11292,415,3,16,249.03,77,19175,3835,5857,23010,3,2018,3-2018
11293,158,2,19,204.37,71,14510,2902,6912,17412,9,2018,9-2018
11294,352,3,21,293.91,57,16753,3350.6,5598,20103.6,7,2018,7-2018
11295,415,1,20,310.49,49,15214,3042.8,5798,18256.8,2,2019,2-2019
11296,274,2,20,459.77,26,11954,2390.8,6581,14344.8,11,2019,11-2019
11297,445,1,16,988.06,16,15809,3161.8,6265,18970.8,7,2018,7-2018
11298,379,1,20,517.03,30,15511,3102.2,6082,18613.2,12,2019,12-2019
11299,115,2,23,234.25,68,15929,3185.8,4905,19114.8,8,2019,8-2019
11300,285,2,11,239.05,60,14343,2868.6,5757,17211.6,11,2019,11-2019
11301,256,1,16,985.86,14,13802,2760.4,5680,16562.4,7,2019,7-2019
11302,196,1,17,861.09,23,19805,3961,5005,23766,5,2019,5-2019
11303,384,2,13,452.61,28,12673,2534.6,5596,15207.6,9,2018,9-2018
11304,462,2,19,313.38,52,16296,3259.2,4926,19555.2,7,2019,7-2019
11305,254,1,11,615.13,23,14148,2829.6,4584,16977.6,3,2018,3-2018
11306,136,1,15,275.15,53,14583,2916.6,5621,17499.6,8,2019,8-2019
11307,422,2,17,973.65,17,16552,3310.4,6683,19862.4,11,2019,11-2019
11308,243,2,22,1133,16,18128,3625.6,5275,21753.6,5,2018,5-2018
11309,430,3,19,812.56,18,14626,2925.2,5122,17551.2,6,2019,6-2019
11310,366,1,17,646,26,16796,3359.2,5208,20155.2,7,2018,7-2018
11311,112,3,11,299.44,48,14373,2874.6,4213,17247.6,11,2018,11-2018
11312,371,2,11,186.61,70,13063,2612.6,6416,15675.6,10,2018,10-2018
11313,314,1,14,210.89,61,12864,2572.8,6973,15436.8,1,2019,1-2019
11314,289,3,15,223.55,77,17213,3442.6,6066,20655.6,6,2018,6-2018
11315,313,1,21,256.14,76,19467,3893.4,6987,23360.4,7,2018,7-2018
11316,294,1,14,324.07,41,13287,2657.4,5902,15944.4,8,2018,8-2018
11317,238,1,19,160.92,76,12230,2446,5662,14676,12,2018,12-2018
11318,307,3,26,226.78,77,17462,3492.4,6129,20954.4,9,2018,9-2018
11319,504,3,14,312.2,46,14361,2872.2,5250,17233.2,9,2018,9-2018
11320,130,3,15,236.55,75,17741,3548.2,5696,21289.2,11,2018,11-2018
11321,471,3,11,537.65,23,12366,2473.2,4730,14839.2,1,2018,1-2018
11322,255,3,19,663.14,28,18568,3713.6,6344,22281.6,3,2019,3-2019
11323,317,3,25,260.8,55,14344,2868.8,4196,17212.8,5,2019,5-2019
11324,256,1,26,291.24,51,14853,2970.6,6705,17823.6,2,2019,2-2019
11325,145,3,26,211.21,68,14362,2872.4,4035,17234.4,7,2018,7-2018
11326,189,2,13,252.74,50,12637,2527.4,4321,15164.4,9,2018,9-2018
11327,524,3,18,330.22,50,16511,3302.2,5521,19813.2,1,2019,1-2019
11328,406,2,12,227.48,80,18198,3639.6,4662,21837.6,8,2019,8-2019
11329,364,1,16,375.48,27,10138,2027.6,6244,12165.6,3,2018,3-2018
11330,382,3,12,299.31,59,17659,3531.8,6642,21190.8,2,2018,2-2018
11331,338,2,24,148.71,72,10707,2141.4,4887,12848.4,9,2019,9-2019
11332,181,1,24,789,14,11046,2209.2,4184,13255.2,12,2018,12-2018
11333,372,2,16,248.44,63,15652,3130.4,5435,18782.4,10,2019,10-2019
11334,296,3,18,351.55,29,10195,2039,4858,12234,5,2019,5-2019
11335,485,1,15,547.54,24,13141,2628.2,4089,15769.2,6,2019,6-2019
11336,341,1,16,671.89,28,18813,3762.6,4932,22575.6,1,2019,1-2019
11337,432,2,25,534.43,30,16033,3206.6,4018,19239.6,7,2019,7-2019
11338,131,2,17,151.55,73,11063,2212.6,4977,13275.6,11,2019,11-2019
11339,480,2,14,228.42,62,14162,2832.4,4531,16994.4,7,2018,7-2018
11340,449,3,16,993.56,16,15897,3179.4,6242,19076.4,6,2019,6-2019
11341,276,2,19,144.28,75,10821,2164.2,6839,12985.2,12,2019,12-2019
11342,519,1,24,235.2,59,13877,2775.4,5966,16652.4,12,2018,12-2018
11343,410,1,15,1109.35,17,18859,3771.8,4676,22630.8,4,2018,4-2018
11344,237,3,18,226.71,56,12696,2539.2,4331,15235.2,7,2019,7-2019
11345,499,2,20,1011.21,14,14157,2831.4,4289,16988.4,9,2019,9-2019
11346,147,2,25,406.53,36,14635,2927,6476,17562,7,2018,7-2018
11347,294,3,12,155.17,72,11172,2234.4,5832,13406.4,11,2018,11-2018
11348,289,1,23,371.23,39,14478,2895.6,4337,17373.6,8,2019,8-2019
11349,350,3,14,268.96,49,13179,2635.8,4764,15814.8,11,2018,11-2018
11350,379,2,13,411.88,40,16475,3295,4319,19770,11,2018,11-2018
11351,160,3,26,226.47,47,10644,2128.8,4680,12772.8,6,2018,6-2018
11352,121,2,15,723.18,17,12294,2458.8,4311,14752.8,1,2018,1-2018
11353,153,3,20,272.66,44,11997,2399.4,5631,14396.4,7,2019,7-2019
11354,226,1,25,693.5,22,15257,3051.4,5725,18308.4,11,2019,11-2019
11355,224,3,24,949,12,11388,2277.6,6297,13665.6,5,2018,5-2018
11356,199,2,24,275.67,58,15989,3197.8,4210,19186.8,2,2019,2-2019
11357,131,1,22,177.04,71,12570,2514,6157,15084,3,2019,3-2019
11358,413,3,11,249,63,15687,3137.4,5694,18824.4,7,2018,7-2018
11359,523,2,13,220.81,69,15236,3047.2,5871,18283.2,11,2019,11-2019
11360,111,2,12,294.75,65,19159,3831.8,6467,22990.8,9,2018,9-2018
11361,485,3,13,166.04,74,12287,2457.4,5888,14744.4,6,2019,6-2019
11362,333,2,13,174.79,73,12760,2552,5911,15312,6,2019,6-2019
11363,228,2,23,246.84,58,14317,2863.4,6779,17180.4,6,2018,6-2018
11364,247,1,16,252.83,70,17698,3539.6,4152,21237.6,11,2019,11-2019
11365,412,3,13,296.64,39,11569,2313.8,6995,13882.8,10,2019,10-2019
11366,299,1,18,266.16,68,18099,3619.8,4738,21718.8,3,2019,3-2019
11367,200,2,26,472.31,42,19837,3967.4,4528,23804.4,11,2018,11-2018
11368,465,3,25,169.11,72,12176,2435.2,4368,14611.2,12,2019,12-2019
11369,469,3,18,307.98,45,13859,2771.8,5995,16630.8,7,2019,7-2019
11370,471,2,14,250.04,68,17003,3400.6,4798,20403.6,12,2018,12-2018
11371,175,3,27,704.95,19,13394,2678.8,6983,16072.8,3,2018,3-2018
11372,176,3,21,182.13,79,14388,2877.6,6488,17265.6,5,2018,5-2018
11373,517,1,24,365.54,52,19008,3801.6,5180,22809.6,6,2019,6-2019
11374,458,2,18,167.51,76,12731,2546.2,6957,15277.2,1,2019,1-2019
11375,461,2,21,251.69,67,16863,3372.6,6200,20235.6,5,2019,5-2019
11376,463,2,21,530.53,36,19099,3819.8,5977,22918.8,10,2018,10-2018
11377,174,1,23,267.79,68,18210,3642,6818,21852,4,2018,4-2018
11378,220,1,24,360.89,37,13353,2670.6,4390,16023.6,11,2018,11-2018
11379,354,2,21,195.79,52,10181,2036.2,6043,12217.2,5,2018,5-2018
11380,452,2,18,636.33,27,17181,3436.2,5480,20617.2,4,2018,4-2018
11381,306,2,23,255,42,10710,2142,4350,12852,4,2018,4-2018
11382,386,2,13,898.53,15,13478,2695.6,6406,16173.6,5,2019,5-2019
11383,237,1,14,211.54,65,13750,2750,6119,16500,11,2018,11-2018
11384,356,1,16,698.74,19,13276,2655.2,5890,15931.2,11,2019,11-2019
11385,303,3,13,177.67,72,12792,2558.4,6995,15350.4,9,2019,9-2019
11386,499,3,12,198.18,66,13080,2616,4312,15696,1,2019,1-2019
11387,398,3,21,246.98,64,15807,3161.4,6478,18968.4,7,2019,7-2019
11388,460,3,22,642.44,18,11564,2312.8,5737,13876.8,6,2019,6-2019
11389,180,2,20,181.07,57,10321,2064.2,4908,12385.2,3,2019,3-2019
11390,467,3,20,235.91,58,13683,2736.6,4875,16419.6,8,2018,8-2018
11391,153,1,26,523.63,30,15709,3141.8,5164,18850.8,4,2018,4-2018
11392,457,3,26,267.13,39,10418,2083.6,4193,12501.6,5,2018,5-2018
11393,144,3,23,940.42,19,17868,3573.6,6705,21441.6,10,2019,10-2019
11394,372,2,22,926.63,16,14826,2965.2,6315,17791.2,5,2019,5-2019
11395,430,3,21,349.88,43,15045,3009,4482,18054,2,2018,2-2018
11396,193,3,17,175.61,77,13522,2704.4,6298,16226.4,8,2018,8-2018
11397,356,3,11,202.9,71,14406,2881.2,6094,17287.2,11,2019,11-2019
11398,519,3,27,167.6,70,11732,2346.4,4752,14078.4,8,2018,8-2018
11399,348,1,19,619.06,17,10524,2104.8,5642,12628.8,6,2019,6-2019
11400,353,1,22,494.23,35,17298,3459.6,6812,20757.6,6,2018,6-2018
11401,264,2,13,138.68,80,11094,2218.8,6907,13312.8,3,2018,3-2018
11402,282,3,26,520.17,23,11964,2392.8,4723,14356.8,10,2018,10-2018
11403,195,1,12,282.05,60,16923,3384.6,4069,20307.6,6,2018,6-2018
11404,343,3,26,300.72,61,18344,3668.8,4864,22012.8,8,2019,8-2019
11405,238,3,27,434.79,24,10435,2087,4986,12522,7,2019,7-2019
11406,128,1,18,252.59,49,12377,2475.4,5362,14852.4,4,2019,4-2019
11407,510,1,15,215.56,77,16598,3319.6,4603,19917.6,8,2018,8-2018
11408,315,3,18,242.71,79,19174,3834.8,6650,23008.8,2,2019,2-2019
11409,247,2,22,345.32,44,15194,3038.8,6883,18232.8,4,2018,4-2018
11410,332,1,18,297.93,41,12215,2443,5163,14658,2,2018,2-2018
11411,410,3,26,238.15,66,15718,3143.6,5894,18861.6,12,2018,12-2018
11412,401,2,16,143.94,79,11371,2274.2,4337,13645.2,3,2018,3-2018
11413,423,2,22,135.16,79,10678,2135.6,5209,12813.6,3,2019,3-2019
11414,352,3,12,827.52,21,17378,3475.6,4909,20853.6,12,2019,12-2019
11415,435,1,15,144.93,73,10580,2116,4933,12696,6,2019,6-2019
11416,293,1,16,790.29,24,18967,3793.4,5038,22760.4,7,2018,7-2018
11417,341,3,26,1132.65,17,19255,3851,6632,23106,12,2018,12-2018
11418,359,3,11,479.03,29,13892,2778.4,6161,16670.4,11,2018,11-2018
11419,433,2,21,183.39,72,13204,2640.8,6958,15844.8,1,2019,1-2019
11420,235,2,24,539.32,19,10247,2049.4,5150,12296.4,2,2018,2-2018
11421,190,1,27,174.5,74,12913,2582.6,6188,15495.6,1,2019,1-2019
11422,483,1,12,422.03,34,14349,2869.8,5498,17218.8,9,2019,9-2019
11423,273,1,25,280.43,70,19630,3926,5168,23556,7,2019,7-2019
11424,277,1,21,605.93,29,17572,3514.4,5159,21086.4,9,2019,9-2019
11425,246,1,25,183.72,79,14514,2902.8,6998,17416.8,5,2018,5-2018
11426,112,3,19,736.47,19,13993,2798.6,4142,16791.6,3,2018,3-2018
11427,238,2,25,175.51,57,10004,2000.8,4316,12004.8,1,2019,1-2019
11428,500,2,27,198.76,74,14708,2941.6,5874,17649.6,7,2018,7-2018
11429,126,3,26,510.46,26,13272,2654.4,5781,15926.4,12,2018,12-2018
11430,378,3,24,788.61,18,14195,2839,6573,17034,3,2019,3-2019
11431,452,3,25,223.09,46,10262,2052.4,4190,12314.4,4,2019,4-2019
11432,348,1,16,431.86,37,15979,3195.8,5493,19174.8,3,2018,3-2018
11433,128,3,14,561.35,34,19086,3817.2,6425,22903.2,2,2019,2-2019
11434,376,1,15,265.47,55,14601,2920.2,4953,17521.2,6,2018,6-2018
11435,402,2,11,551.12,34,18738,3747.6,6250,22485.6,9,2018,9-2018
11436,210,1,23,613.75,24,14730,2946,5586,17676,9,2018,9-2018
11437,251,1,11,452.5,28,12670,2534,4645,15204,11,2018,11-2018
11438,372,3,19,674.53,19,12816,2563.2,6584,15379.2,1,2018,1-2018
11439,452,2,27,390,40,15600,3120,5075,18720,9,2019,9-2019
11440,404,2,15,230.06,51,11733,2346.6,4158,14079.6,2,2018,2-2018
11441,463,2,16,979.31,16,15669,3133.8,5457,18802.8,1,2018,1-2018
11442,415,3,11,1013.06,16,16209,3241.8,6236,19450.8,12,2019,12-2019
11443,501,2,24,190.27,70,13319,2663.8,6472,15982.8,8,2018,8-2018
11444,316,1,17,155.16,77,11947,2389.4,6070,14336.4,11,2018,11-2018
11445,330,3,11,588.12,25,14703,2940.6,6130,17643.6,9,2019,9-2019
11446,465,3,20,762.71,24,18305,3661,4209,21966,3,2019,3-2019
11447,206,2,16,665.62,29,19303,3860.6,5070,23163.6,5,2019,5-2019
11448,418,2,14,160.4,67,10747,2149.4,4411,12896.4,7,2019,7-2019
11449,310,3,27,196.38,65,12765,2553,5177,15318,2,2019,2-2019
11450,149,1,24,1098.94,16,17583,3516.6,5379,21099.6,1,2019,1-2019
11451,145,2,26,536.88,34,18254,3650.8,5321,21904.8,9,2018,9-2018
11452,222,3,11,285.02,45,12826,2565.2,4634,15391.2,11,2019,11-2019
11453,308,2,18,506.53,30,15196,3039.2,5673,18235.2,4,2019,4-2019
